STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,hlth_pb,Health problems,isced11,International Standard Classification of Education (ISCED 2011),sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,IE,Ireland,2014,,12.1,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,IS,Iceland,2014,,14.8,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,IT,Italy,2014,,5.5,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,LT,Lithuania,2014,,4.7,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,LU,Luxembourg,2014,,9.5,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,LV,Latvia,2014,,9.1,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,MT,Malta,2014,,5.4,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,NL,Netherlands,2014,,7.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,NO,Norway,2014,,6.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,PL,Poland,2014,,4.2,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,PT,Portugal,2014,,11.9,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,RO,Romania,2014,,1.5,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,SE,Sweden,2014,,9.6,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,SI,Slovenia,2014,,8.8,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,SK,Slovakia,2014,,4.2,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,TR,Türkiye,2014,,11.0,,,,,
dataflow,ESTAT:HLTH_EHIS_CD1E(1.0),"Persons reporting a chronic disease, by disease, sex, age and educational attainment level",A,Annual,PC,Percentage,DPR_CHR,Chronic depression,TOTAL,All ISCED 2011 levels,T,Total,TOTAL,Total,UK,United Kingdom,2014,,8.9,,,,,
